external_gene_name	pathway
GADD45B	nfkb
GADD45G	nfkb
TRAF1	nfkb
BCL2A1	nfkb
NFKB2	nfkb
CXCL8	nfkb
TNFAIP3	nfkb
PTGS2	nfkb
CCL4	nfkb
CCL4L2	nfkb
CCL4L1	nfkb
CXCL1	nfkb
CXCL2	nfkb
CXCL3	nfkb
VCAM1	nfkb
PLAU	nfkb
CSNK2A1	nfkb
CSNK2A2	nfkb
CSNK2A3	nfkb
CSNK2B	nfkb
RELB	nfkb
CCL13	nfkb
CCL19	nfkb
CCL21	nfkb
CXCL12	nfkb
ICAM1	nfkb
DLL3	notch
DLL1	notch
DLL4	notch
JAG1	notch
JAG2	notch
MFNG	notch
LFNG	notch
RFNG	notch
NOTCH1	notch
NOTCH2	notch
NOTCH3	notch
NOTCH4	notch
RBPJL	notch
RBPJ	notch
HES1	notch
HES5	notch
HEYL	notch
HEY1	notch
HEY2	notch
PTCRA	notch
DVL3	notch
DVL2	notch
DVL1	notch
NUMB	notch
NUMBL	notch
DTX2	notch
DTX3L	notch
DTX1	notch
DTX3	notch
DTX4	notch
ADAM17	notch
PSEN1	notch
PSEN2	notch
PSENEN	notch
NCSTN	notch
APH1A	notch
APH1B	notch
MAML3	notch
MAML2	notch
MAML1	notch
CREBBP	notch
EP300	notch
KAT2B	notch
KAT2A	notch
SNW1	notch
CTBP1	notch
CTBP2	notch
TLE7	notch
TLE1	notch
TLE2	notch
TLE3	notch
TLE4	notch
TLE6	notch
NCOR2	notch
CIR1	notch
HDAC1	notch
HDAC2	notch
ATXN1L	notch
ATXN1	notch
EGF	ras
TGFA	ras
FGF1	ras
FGF2	ras
FGF3	ras
FGF4	ras
FGF17	ras
FGF6	ras
FGF7	ras
FGF8	ras
FGF9	ras
FGF10	ras
FGF16	ras
FGF5	ras
FGF18	ras
FGF20	ras
FGF22	ras
FGF19	ras
FGF21	ras
FGF23	ras
NGF	ras
BDNF	ras
NTF3	ras
NTF4	ras
INS	ras
IGF1	ras
IGF2	ras
PDGFA	ras
PDGFB	ras
PDGFC	ras
PDGFD	ras
CSF1	ras
KITLG	ras
FLT3LG	ras
VEGFA	ras
VEGFB	ras
PGF	ras
VEGFC	ras
VEGFD	ras
HGF	ras
ANGPT1	ras
ANGPT2	ras
ANGPT4	ras
EFNA1	ras
EFNA2	ras
EFNA3	ras
EFNA4	ras
EFNA5	ras
EGFR	ras
FGFR1	ras
FGFR2	ras
FGFR3	ras
FGFR4	ras
NGFR	ras
NTRK1	ras
NTRK2	ras
INSR	ras
IGF1R	ras
PDGFRA	ras
PDGFRB	ras
CSF1R	ras
KIT	ras
FLT3	ras
FLT1	ras
FLT4	ras
KDR	ras
MET	ras
TEK	ras
EPHA2	ras
GRB2	ras
GAB1	ras
GAB2	ras
SHC1	ras
SHC2	ras
SHC3	ras
SHC4	ras
PTPN11	ras
SOS1	ras
SOS2	ras
PLCG1	ras
PLCG2	ras
RASGRP1	ras
RASGRP2	ras
RASGRP3	ras
RASGRP4	ras
ZAP70	ras
LAT	ras
HTR7	ras
GNB1	ras
GNB2	ras
GNB3	ras
GNB4	ras
GNB5	ras
GNG2	ras
GNG3	ras
GNG4	ras
GNG5	ras
GNG7	ras
GNG8	ras
GNG10	ras
GNG11	ras
GNG12	ras
GNG13	ras
GNGT1	ras
GNGT2	ras
PRKACA	ras
PRKACB	ras
PRKACG	ras
RASGRF1	ras
RASGRF2	ras
GRIN1	ras
GRIN2A	ras
GRIN2B	ras
CALML3	ras
CALM2	ras
CALM3	ras
CALM1	ras
CALML6	ras
CALML5	ras
CALML4	ras
HRAS	ras
KRAS	ras
NRAS	ras
MRAS	ras
RRAS	ras
RRAS2	ras
NF1	ras
RASA1	ras
RASA2	ras
RASA3	ras
RASA4	ras
RASA4B	ras
SYNGAP1	ras
RASAL1	ras
RASAL2	ras
RASAL3	ras
RASSF1	ras
RASSF5	ras
STK4	ras
TIAM1	ras
RAC1	ras
RAC2	ras
RAC3	ras
PAK1	ras
PAK2	ras
PAK3	ras
PAK4	ras
PAK5	ras
PAK6	ras
BUB1B-PAK6	ras
RHOA	ras
PIK3CA	ras
PIK3CD	ras
PIK3CB	ras
PIK3R1	ras
PIK3R2	ras
PIK3R3	ras
AKT1	ras
AKT2	ras
AKT3	ras
IKBKG	ras
CHUK	ras
IKBKB	ras
NFKB1	ras
RELA	ras
BAD	ras
BCL2L1	ras
FOXO4	ras
FASLG	ras
RALGAPA1	ras
RALGAPA2	ras
RALGAPB	ras
RALGDS	ras
RGL1	ras
RGL2	ras
RALA	ras
RALB	ras
PLD1	ras
PLD2	ras
EXOC2	ras
TBK1	ras
REL	ras
MAPK8	ras
MAPK10	ras
MAPK9	ras
RALBP1	ras
CDC42	ras
AFDN	ras
SHOC2	ras
RAF1	ras
MAP2K1	ras
MAP2K2	ras
MAPK1	ras
MAPK3	ras
PLA1A	ras
PLA2G10	ras
PLA2G2D	ras
PLA2G2E	ras
PLA2G3	ras
PLA2G2F	ras
PLA2G12A	ras
PLA2G12B	ras
PLA2G1B	ras
PLA2G5	ras
PLA2G2A	ras
PLA2G2C	ras
PLA2G4E	ras
PLA2G4A	ras
JMJD7-PLA2G4B	ras
PLA2G4B	ras
PLA2G4C	ras
PLA2G4D	ras
PLA2G4F	ras
PLA2G6	ras
PLAAT3	ras
ELK1	ras
ETS1	ras
ETS2	ras
BRAP	ras
KSR1	ras
KSR2	ras
RAPGEF5	ras
RAP1A	ras
RAP1B	ras
PLCE1	ras
PRKCA	ras
PRKCB	ras
PRKCG	ras
RIN1	ras
ABL1	ras
ABL2	ras
RAB5A	ras
RAB5B	ras
RAB5C	ras
ARF6	ras
CHRD	tgfb
NOG	tgfb
NBL1	tgfb
MICOS10-NBL1	tgfb
GREM1	tgfb
GREM2	tgfb
THBS1	tgfb
DCN	tgfb
FMOD	tgfb
LEFTY1	tgfb
LEFTY2	tgfb
FST	tgfb
BMP2	tgfb
BMP4	tgfb
BMP6	tgfb
INHBB	tgfb
BMP5	tgfb
BMP7	tgfb
BMP8B	tgfb
BMP8A	tgfb
GDF5	tgfb
GDF6	tgfb
GDF7	tgfb
AMH	tgfb
THSD4	tgfb
FBN1	tgfb
LTBP1	tgfb
TGFB1	tgfb
TGFB2	tgfb
TGFB3	tgfb
INHBA	tgfb
INHBC	tgfb
INHBE	tgfb
NODAL	tgfb
NEO1	tgfb
HJV	tgfb
BMPR1A	tgfb
BMPR1B	tgfb
ACVR1	tgfb
BMPR2	tgfb
ACVR2A	tgfb
RGMA	tgfb
RGMB	tgfb
AMHR2	tgfb
TGFBR1	tgfb
TGFBR2	tgfb
ACVR1B	tgfb
ACVR2B	tgfb
ACVR1C	tgfb
BAMBI	tgfb
SMAD1	tgfb
SMAD5	tgfb
SMAD9	tgfb
SMAD2	tgfb
SMAD3	tgfb
SMAD4	tgfb
SMAD6	tgfb
SMAD7	tgfb
SMURF1	tgfb
SMURF2	tgfb
ZFYVE9	tgfb
ZFYVE16	tgfb
HAMP	tgfb
ID1	tgfb
ID2	tgfb
ID3	tgfb
ID4	tgfb
RBL1	tgfb
E2F4	tgfb
E2F5	tgfb
TFDP1	tgfb
CREBBP	tgfb
EP300	tgfb
SP1	tgfb
TGIF1	tgfb
TGIF2	tgfb
MYC	tgfb
CDKN2B	tgfb
PITX2	tgfb
RBX1	tgfb
CUL1	tgfb
SKP1	tgfb
MAPK1	tgfb
MAPK3	tgfb
IFNG	tgfb
TNF	tgfb
RHOA	tgfb
ROCK1	tgfb
PPP2R1B	tgfb
PPP2R1A	tgfb
PPP2CA	tgfb
PPP2CB	tgfb
RPS6KB1	tgfb
RPS6KB2	tgfb
APC	wnt
APC2	wnt
APCDD1	wnt
APCDD1L	wnt
AXIN1	wnt
AXIN2	wnt
BAMBI	wnt
BTRC	wnt
CACYBP	wnt
CAMK2A	wnt
CAMK2B	wnt
CAMK2D	wnt
CAMK2G	wnt
CBY1	wnt
CCDC88C	wnt
CCN4	wnt
CCND1	wnt
CCND2	wnt
CCND3	wnt
CER1	wnt
CHD8	wnt
CREBBP	wnt
CSNK1A1	wnt
CSNK1A1L	wnt
CSNK1E	wnt
CSNK2A1	wnt
CSNK2A2	wnt
CSNK2A3	wnt
CSNK2B	wnt
CTBP1	wnt
CTBP2	wnt
CTNNB1	wnt
CTNNBIP1	wnt
CTNND2	wnt
CUL1	wnt
CXXC4	wnt
DAAM1	wnt
DAAM2	wnt
DKK1	wnt
DKK2	wnt
DKK4	wnt
DVL1	wnt
DVL2	wnt
DVL3	wnt
EP300	wnt
FBXW11	wnt
FOSL1	wnt
FRAT1	wnt
FRAT2	wnt
FRZB	wnt
FZD1	wnt
FZD10	wnt
FZD2	wnt
FZD3	wnt
FZD4	wnt
FZD5	wnt
FZD6	wnt
FZD7	wnt
FZD8	wnt
FZD9	wnt
GPC4	wnt
GSK3B	wnt
INVS	wnt
JUN	wnt
LEF1	wnt
LGR4	wnt
LGR5	wnt
LGR6	wnt
LRP5	wnt
LRP6	wnt
MAP3K7	wnt
MAPK10	wnt
MAPK8	wnt
MAPK9	wnt
MMP7	wnt
MYC	wnt
NFATC1	wnt
NFATC2	wnt
NFATC3	wnt
